Item,System,Failure observation,Repair time
Component 6,System 02,5/29/2007,57.87
Component 6,System 02,6/10/2007,57.53
Component 6,System 02,6/13/2007,54.82
Component 6,System 02,8/9/2007,55.79
Component 6,System 02,10/6/2007,56.65
Component 6,System 02,10/26/2007,50.55
Component 6,System 02,1/10/2008,53.68
Component 6,System 02,3/8/2008,53.60
Component 6,System 02,3/22/2008,51.78
Component 6,System 02,5/27/2008,57.67
Component 6,System 02,7/21/2008,53.19
Component 6,System 02,9/9/2008,58.72
Component 6,System 02,11/13/2008,51.53
Component 6,System 02,3/25/2009,50.63
Component 6,System 02,5/13/2009,54.60
Component 6,System 02,6/21/2009,56.48
Component 6,System 02,7/22/2009,57.21
Component 6,System 02,7/23/2009,51.06
Component 6,System 02,8/19/2009,51.93
Component 6,System 02,8/24/2009,53.08
Component 6,System 02,12/10/2009,59.17
Component 6,System 02,12/25/2009,54.14
Component 6,System 02,1/6/2010,56.69
Component 6,System 02,1/26/2010,58.64
Component 6,System 02,3/12/2010,52.76
Component 6,System 02,3/23/2010,56.47
Component 6,System 02,11/15/2010,52.61
Component 6,System 02,11/17/2010,56.01
Component 6,System 02,1/7/2011,51.71
Component 6,System 02,1/31/2011,55.17
Component 6,System 02,3/30/2011,57.57
Component 6,System 02,5/18/2011,54.96
Component 6,System 02,6/14/2011,50.41
Component 6,System 02,6/27/2011,50.76
Component 6,System 02,6/27/2012,56.87
Component 6,System 02,8/7/2012,53.28
Component 6,System 02,9/6/2012,55.14
Component 6,System 02,12/8/2012,53.47
Component 6,System 02,12/10/2012,57.75
Component 6,System 02,2/6/2013,51.38
Component 6,System 02,2/18/2013,59.97
Component 6,System 02,4/6/2013,52.73
Component 6,System 02,8/18/2013,50.79
Component 6,System 02,9/20/2013,58.69
Component 6,System 02,10/14/2013,51.01
Component 6,System 02,12/25/2013,54.73
Component 6,System 02,3/7/2014,58.71
Component 6,System 02,4/28/2014,54.12
Component 6,System 02,5/9/2014,51.79
Component 6,System 02,9/22/2014,57.92
Component 6,System 02,12/5/2014,51.56
Component 6,System 02,1/27/2015,58.51
Component 6,System 02,3/27/2015,50.05
Component 6,System 02,8/26/2015,51.85
Component 6,System 02,9/10/2015,55.19
Component 6,System 02,11/7/2015,52.81
Component 6,System 03,1/10/1990,56.41
Component 6,System 03,1/13/1990,51.54
Component 6,System 03,2/16/1990,52.94
Component 6,System 03,2/18/1990,53.47
Component 6,System 03,6/3/1990,50.52
Component 6,System 03,8/29/1990,54.36
Component 6,System 03,9/8/1990,55.49
Component 6,System 03,9/16/1990,51.12
Component 6,System 03,10/21/1990,56.43
Component 6,System 03,11/10/1990,52.88
Component 6,System 03,12/24/1990,58.98
Component 6,System 03,1/22/1991,55.16
Component 6,System 03,4/5/1991,50.09
Component 6,System 03,4/24/1991,58.79
Component 6,System 03,5/22/1991,54.95
Component 6,System 03,5/23/1991,52.36
Component 6,System 03,6/18/1991,52.72
Component 6,System 03,6/29/1991,51.13
Component 6,System 03,7/13/1991,56.37
Component 6,System 03,7/25/1991,56.86
Component 6,System 03,8/26/1991,58.44
Component 6,System 03,9/10/1991,54.37
Component 6,System 03,10/17/1991,54.89
Component 6,System 03,10/29/1991,51.82
Component 6,System 03,11/6/1991,54.27
Component 6,System 03,12/9/1991,57.29
Component 6,System 03,12/16/1991,52.27
Component 6,System 03,1/12/1992,50.75
Component 6,System 03,2/23/1992,57.23
Component 6,System 03,4/2/1992,59.05
Component 6,System 03,4/25/1992,54.99
Component 6,System 03,7/12/1992,52.82
Component 6,System 03,9/20/1992,52.23
Component 6,System 03,1/17/1993,58.03
Component 6,System 03,1/19/1993,56.41
Component 6,System 03,3/11/1993,50.72
Component 6,System 03,4/9/1993,55.32
Component 6,System 03,6/4/1993,57.15
Component 6,System 03,6/7/1993,55.51
Component 6,System 03,6/21/1993,57.07
Component 6,System 03,11/19/1993,53.30
Component 6,System 03,11/23/1993,55.91
Component 6,System 03,12/23/1993,53.00
Component 6,System 03,1/19/1994,51.78
Component 6,System 03,2/1/1994,51.36
Component 6,System 03,3/7/1994,55.75
Component 6,System 03,5/30/1994,59.55
Component 6,System 03,7/15/1994,55.75
Component 6,System 03,9/9/1994,51.76
Component 6,System 03,9/10/1994,52.53
Component 6,System 03,10/7/1994,51.31
Component 6,System 03,10/15/1994,55.00
Component 6,System 03,11/12/1994,51.52
Component 6,System 03,11/25/1994,50.29
Component 6,System 03,12/1/1994,51.48
Component 6,System 03,12/3/1994,53.06
Component 6,System 03,12/9/1994,59.05
Component 6,System 03,1/17/1995,58.76
Component 6,System 03,3/5/1995,59.78
Component 6,System 03,3/16/1995,50.43
Component 6,System 03,5/11/1995,58.46
Component 6,System 03,5/25/1995,54.13
Component 6,System 03,8/25/1995,58.09
Component 6,System 03,9/27/1995,58.47
Component 6,System 03,10/27/1995,53.88
Component 6,System 03,1/30/1996,58.77
Component 6,System 03,2/8/1996,57.11
Component 6,System 03,2/28/1996,52.66
Component 6,System 03,3/2/1996,51.15
Component 6,System 03,4/4/1996,57.51
Component 6,System 03,5/9/1996,52.72
Component 6,System 03,5/21/1996,53.40
Component 6,System 03,6/16/1996,53.28
Component 6,System 03,7/11/1996,51.51
Component 6,System 03,8/20/1996,51.75
Component 6,System 03,8/31/1996,54.83
Component 6,System 03,10/6/1996,58.44
Component 6,System 03,12/23/1996,51.24
Component 6,System 03,1/11/1997,54.73
Component 6,System 03,1/16/1997,54.36
Component 6,System 03,4/14/1997,55.53
Component 6,System 03,5/7/1997,57.96
Component 6,System 03,6/19/1997,58.55
Component 6,System 03,8/3/1997,56.01
Component 6,System 03,9/5/1997,55.59
Component 6,System 03,12/1/1997,58.27
Component 6,System 03,12/8/1997,50.71
Component 6,System 03,12/26/1997,56.24
Component 6,System 03,1/30/1998,51.32
Component 6,System 03,2/17/1998,58.11
Component 6,System 03,5/1/1998,50.95
Component 6,System 03,6/23/1998,52.95
Component 6,System 03,9/3/1998,56.79
Component 6,System 03,10/29/1998,59.05
Component 6,System 03,12/14/1998,54.48
Component 6,System 03,3/4/1999,59.19
Component 6,System 03,3/5/1999,53.61
Component 6,System 03,4/14/1999,52.48
Component 6,System 03,5/5/1999,54.99
Component 6,System 03,6/11/1999,56.05
Component 6,System 03,7/6/1999,55.32
Component 6,System 03,8/25/1999,58.95
Component 6,System 03,9/9/1999,56.14
Component 6,System 03,11/1/1999,59.57
Component 6,System 03,11/13/1999,57.59
Component 6,System 03,1/30/2000,59.40
Component 6,System 03,2/7/2000,56.94
Component 6,System 03,2/20/2000,54.53
Component 6,System 03,2/27/2000,59.67
Component 6,System 03,3/23/2000,51.98
Component 6,System 03,6/4/2000,57.85
Component 6,System 03,6/10/2000,55.62
Component 6,System 03,11/5/2000,58.42
Component 6,System 03,12/18/2000,53.25
Component 6,System 03,2/9/2001,56.51
Component 6,System 03,3/16/2001,56.53
Component 6,System 03,3/28/2001,55.64
Component 6,System 03,7/17/2001,55.69
Component 6,System 03,7/26/2001,55.90
Component 6,System 03,9/11/2001,53.04
Component 6,System 03,10/4/2001,59.41
Component 6,System 03,12/2/2001,51.44
Component 6,System 03,12/16/2001,54.10
Component 6,System 03,1/6/2002,53.27
Component 6,System 03,3/13/2002,53.82
Component 6,System 03,5/19/2002,57.33
Component 6,System 03,6/30/2002,50.59
Component 6,System 03,9/11/2002,51.88
Component 6,System 03,11/18/2002,57.57
Component 6,System 03,11/27/2002,59.50
Component 6,System 03,12/10/2002,52.40
Component 6,System 03,12/26/2002,52.23
Component 6,System 03,3/26/2003,54.03
Component 6,System 03,4/12/2003,58.00
Component 6,System 03,6/16/2003,55.15
Component 6,System 03,6/23/2003,55.08
Component 6,System 03,10/22/2003,53.67
Component 6,System 03,11/29/2003,54.66
Component 6,System 03,12/4/2003,53.51
Component 6,System 03,1/28/2004,54.34
Component 6,System 03,2/3/2004,55.72
Component 6,System 03,2/29/2004,56.37
Component 6,System 03,3/2/2004,57.92
Component 6,System 03,3/4/2004,51.05
Component 6,System 03,4/11/2004,53.66
Component 6,System 03,6/4/2004,56.91
Component 6,System 03,6/23/2004,59.56
Component 6,System 03,7/7/2004,55.10
Component 6,System 03,11/1/2004,50.20
Component 6,System 03,11/23/2004,55.08
Component 6,System 03,12/7/2004,53.06
Component 6,System 03,1/21/2005,51.53
Component 6,System 03,1/26/2005,51.82
Component 6,System 03,2/28/2005,56.58
Component 6,System 03,3/7/2005,58.72
Component 6,System 03,4/17/2005,56.74
Component 6,System 03,9/7/2005,51.46
Component 6,System 03,10/8/2005,56.60
Component 6,System 03,10/13/2005,56.04
Component 6,System 03,10/30/2005,59.67
Component 6,System 03,11/10/2005,53.48
Component 6,System 03,11/13/2005,53.36
Component 6,System 03,12/29/2005,51.26
Component 6,System 03,1/2/2006,54.91
Component 6,System 03,3/6/2006,52.72
Component 6,System 03,3/16/2006,59.67
Component 6,System 03,3/31/2006,51.05
Component 6,System 03,5/9/2006,56.38
Component 6,System 03,6/4/2006,53.45
Component 6,System 03,6/13/2006,58.63
Component 6,System 03,8/5/2006,51.10
Component 6,System 03,8/25/2006,56.50
Component 6,System 03,9/10/2006,56.13
Component 6,System 03,5/18/2007,54.60
Component 6,System 03,7/31/2007,54.67
Component 6,System 03,9/3/2007,53.86
Component 6,System 03,11/30/2007,53.96
Component 6,System 03,12/14/2007,55.39
Component 6,System 03,12/18/2007,53.81
Component 6,System 03,1/30/2008,56.56
Component 6,System 03,4/8/2008,57.81
Component 6,System 03,4/23/2008,53.02
Component 6,System 03,6/12/2008,59.14
Component 6,System 03,6/12/2008,55.92
Component 6,System 03,6/16/2008,54.33
Component 6,System 03,6/30/2008,51.78
Component 6,System 03,8/31/2008,56.36
Component 6,System 03,10/4/2008,57.48
Component 6,System 03,10/4/2008,51.33
Component 6,System 03,10/17/2008,54.69
Component 6,System 03,12/29/2008,58.94
Component 6,System 03,2/14/2009,57.75
Component 6,System 03,6/26/2009,54.34
Component 6,System 03,7/10/2009,56.53
Component 6,System 03,9/4/2009,52.09
Component 6,System 03,9/25/2009,54.03
Component 6,System 03,10/19/2009,55.06
Component 6,System 03,10/28/2009,57.11
Component 6,System 03,11/19/2009,54.61
Component 6,System 03,11/25/2009,59.95
Component 6,System 03,11/25/2009,58.10
Component 6,System 03,12/22/2009,57.49
Component 6,System 03,12/30/2009,51.43
Component 6,System 03,2/17/2010,57.45
Component 6,System 03,4/5/2010,56.63
Component 6,System 03,4/30/2010,51.46
Component 6,System 03,6/17/2010,51.87
Component 6,System 03,6/28/2010,57.19
Component 6,System 03,7/3/2010,58.34
Component 6,System 03,9/19/2010,53.67
Component 6,System 03,11/1/2010,52.60
Component 6,System 03,1/7/2011,52.32
Component 6,System 03,4/27/2011,53.97
Component 6,System 03,10/5/2011,52.79
Component 6,System 03,12/13/2011,53.63
Component 6,System 03,12/20/2011,58.21
Component 6,System 03,1/7/2012,50.21
Component 6,System 03,1/14/2012,55.20
Component 6,System 03,2/16/2012,52.01
Component 6,System 03,3/22/2012,51.92
Component 6,System 03,4/11/2012,56.09
Component 6,System 03,4/13/2012,57.78
Component 6,System 03,4/30/2012,56.07
Component 6,System 03,4/30/2012,57.96
Component 6,System 03,5/25/2012,55.69
Component 6,System 03,7/16/2012,59.75
Component 6,System 03,1/21/2013,50.56
Component 6,System 03,2/19/2013,56.73
Component 6,System 03,2/19/2013,55.84
Component 6,System 03,4/15/2013,59.62
Component 6,System 03,4/25/2013,58.13
Component 6,System 03,7/26/2013,52.60
Component 6,System 03,9/17/2013,56.17
Component 6,System 03,10/12/2013,59.34
Component 6,System 03,12/16/2013,56.28
Component 6,System 03,12/21/2013,54.71
Component 6,System 03,1/20/2014,50.57
Component 6,System 03,2/12/2014,51.91
Component 6,System 03,4/7/2014,50.33
Component 6,System 03,8/16/2014,54.04
Component 6,System 03,12/10/2014,58.56
Component 6,System 03,1/16/2015,59.05
Component 6,System 03,1/19/2015,51.18
Component 6,System 03,3/17/2015,58.89
Component 6,System 03,3/27/2015,55.17
Component 6,System 03,5/3/2015,55.24
Component 6,System 03,5/5/2015,53.50
Component 6,System 03,6/25/2015,57.20
Component 6,System 03,8/10/2015,52.81
Component 6,System 03,8/26/2015,50.30
Component 6,System 03,9/12/2015,50.40
Component 6,System 03,9/18/2015,58.23
Component 6,System 03,10/3/2015,58.79
Component 6,System 03,11/4/2015,59.56
Component 6,System 03,11/20/2015,50.14
Component 6,System 04,3/22/1990,56.90
Component 6,System 04,4/4/1990,54.52
Component 6,System 04,4/15/1990,59.28
Component 6,System 04,4/18/1990,59.35
Component 6,System 04,4/25/1990,55.87
Component 6,System 04,8/25/1990,59.16
Component 6,System 04,9/3/1990,59.95
Component 6,System 04,9/8/1990,54.16
Component 6,System 04,2/28/1991,51.39
Component 6,System 04,4/14/1991,54.79
Component 6,System 04,5/29/1991,53.12
Component 6,System 04,7/11/1991,58.60
Component 6,System 04,7/28/1991,56.76
Component 6,System 04,8/19/1991,54.79
Component 6,System 04,9/26/1991,55.31
Component 6,System 04,9/28/1991,55.80
Component 6,System 04,10/19/1991,58.63
Component 6,System 04,1/29/1992,54.01
Component 6,System 04,4/6/1992,51.27
Component 6,System 04,4/11/1992,50.25
Component 6,System 04,4/28/1992,52.17
Component 6,System 04,5/1/1992,56.18
Component 6,System 04,5/16/1992,50.75
Component 6,System 04,6/23/1992,59.89
Component 6,System 04,9/26/1992,58.40
Component 6,System 04,10/6/1992,55.65
Component 6,System 04,5/1/1993,55.87
Component 6,System 04,7/6/1993,58.77
Component 6,System 04,7/15/1993,57.88
Component 6,System 04,8/1/1993,57.25
Component 6,System 04,8/22/1993,55.12
Component 6,System 04,9/25/1993,59.61
Component 6,System 04,10/24/1993,54.83
Component 6,System 04,12/31/1993,50.72
Component 6,System 04,3/26/1994,59.71
Component 6,System 04,5/10/1994,53.59
Component 6,System 04,7/16/1994,54.65
Component 6,System 04,9/6/1994,53.63
Component 6,System 04,10/7/1994,58.73
Component 6,System 04,11/10/1994,55.72
Component 6,System 04,12/17/1994,57.29
Component 6,System 04,3/9/1995,53.57
Component 6,System 04,3/17/1995,53.40
Component 6,System 04,4/25/1995,59.77
Component 6,System 04,6/1/1995,50.44
Component 6,System 04,6/2/1995,50.73
Component 6,System 04,6/22/1995,52.37
Component 6,System 04,7/23/1995,51.12
Component 6,System 04,7/31/1995,53.47
Component 6,System 04,12/18/1995,51.25
Component 6,System 04,1/23/1996,58.09
Component 6,System 04,3/7/1996,52.70
Component 6,System 04,5/4/1996,52.89
Component 6,System 04,6/8/1996,57.31
Component 6,System 04,7/2/1996,52.28
Component 6,System 04,9/21/1996,50.28
Component 6,System 04,10/8/1996,52.95
Component 6,System 04,12/1/1996,57.81
Component 6,System 04,12/16/1996,55.59
Component 6,System 04,12/20/1996,50.18
Component 6,System 04,1/17/1997,54.61
Component 6,System 04,5/17/1997,58.95
Component 6,System 04,5/24/1997,53.34
Component 6,System 04,7/2/1997,57.11
Component 6,System 04,2/9/1998,50.20
Component 6,System 04,2/23/1998,58.00
Component 6,System 04,2/25/1998,55.11
Component 6,System 04,2/28/1998,52.36
Component 6,System 04,5/21/1998,50.41
Component 6,System 04,6/22/1998,56.28
Component 6,System 04,6/28/1998,53.15
Component 6,System 04,8/17/1998,56.84
Component 6,System 04,9/17/1998,52.86
Component 6,System 04,3/19/1999,55.00
Component 6,System 04,5/15/1999,58.48
Component 6,System 04,5/29/1999,58.80
Component 6,System 04,6/23/1999,53.67
Component 6,System 04,7/2/1999,55.13
Component 6,System 04,7/14/1999,57.03
Component 6,System 04,7/16/1999,57.06
Component 6,System 04,9/17/1999,54.77
Component 6,System 04,11/8/1999,57.09
Component 6,System 04,1/2/2000,55.03
Component 6,System 04,1/11/2000,56.56
Component 6,System 04,1/12/2000,52.09
Component 6,System 04,3/21/2000,59.84
Component 6,System 04,6/4/2000,56.54
Component 6,System 04,6/14/2000,57.52
Component 6,System 04,6/16/2000,50.51
Component 6,System 04,10/4/2000,56.48
Component 6,System 04,10/13/2000,50.06
Component 6,System 04,11/7/2000,52.35
Component 6,System 04,12/3/2000,59.53
Component 6,System 04,2/24/2001,59.33
Component 6,System 04,4/14/2001,57.77
Component 6,System 04,5/4/2001,56.45
Component 6,System 04,6/24/2001,57.72
Component 6,System 04,10/3/2001,56.91
Component 6,System 04,10/27/2001,55.42
Component 6,System 04,10/31/2001,59.94
Component 6,System 04,11/2/2001,52.16
Component 6,System 04,11/10/2001,52.48
Component 6,System 04,1/7/2002,51.43
Component 6,System 04,4/12/2002,53.19
Component 6,System 04,5/8/2002,52.24
Component 6,System 04,5/16/2002,52.02
Component 6,System 04,6/20/2002,50.11
Component 6,System 04,6/28/2002,58.47
Component 6,System 04,7/12/2002,52.73
Component 6,System 04,7/31/2002,52.01
Component 6,System 04,12/12/2002,58.33
Component 6,System 04,12/14/2002,50.95
Component 6,System 04,12/22/2002,54.41
Component 6,System 04,2/4/2003,55.04
Component 6,System 04,3/20/2003,50.27
Component 6,System 04,3/24/2003,57.36
Component 6,System 04,7/3/2003,51.43
Component 6,System 04,7/8/2003,56.51
Component 6,System 04,8/24/2003,51.75
Component 6,System 04,8/26/2003,53.94
Component 6,System 04,11/2/2003,55.77
Component 6,System 04,12/18/2003,51.06
Component 6,System 04,1/28/2004,50.45
Component 6,System 04,4/19/2004,50.75
Component 6,System 04,4/21/2004,54.75
Component 6,System 04,6/22/2004,55.80
Component 6,System 04,7/16/2004,54.52
Component 6,System 04,7/18/2004,52.69
Component 6,System 04,7/21/2004,55.24
Component 6,System 04,7/29/2004,53.83
Component 6,System 04,8/3/2004,53.67
Component 6,System 04,8/19/2004,56.30
Component 6,System 04,8/27/2004,50.55
Component 6,System 04,12/24/2004,51.05
Component 6,System 04,1/19/2005,58.91
Component 6,System 04,2/18/2005,54.87
Component 6,System 04,4/14/2005,54.69
Component 6,System 04,4/20/2005,53.83
Component 6,System 04,5/18/2005,56.70
Component 6,System 04,11/11/2005,52.03
Component 6,System 04,1/8/2006,59.25
Component 6,System 04,1/11/2006,55.23
Component 6,System 04,2/26/2006,58.49
Component 6,System 04,2/28/2006,59.52
Component 6,System 04,4/24/2006,52.06
Component 6,System 04,5/15/2006,51.60
Component 6,System 04,6/6/2006,57.00
Component 6,System 04,6/13/2006,50.07
Component 6,System 04,7/2/2006,58.21
Component 6,System 04,7/3/2006,58.14
Component 6,System 04,7/6/2006,53.45
Component 6,System 04,10/27/2006,53.63
Component 6,System 04,11/16/2006,50.48
Component 6,System 04,12/26/2006,54.78
Component 6,System 04,1/4/2007,58.43
Component 6,System 04,4/8/2007,58.38
Component 6,System 04,6/2/2007,54.34
Component 6,System 04,6/29/2007,55.38
Component 6,System 04,8/9/2007,58.71
Component 6,System 04,10/30/2007,56.01
Component 6,System 04,11/10/2007,55.36
Component 6,System 04,12/9/2007,57.29
Component 6,System 04,4/19/2008,51.23
Component 6,System 04,5/4/2008,55.09
Component 6,System 04,5/17/2008,55.38
Component 6,System 04,6/17/2008,53.85
Component 6,System 04,6/27/2008,58.42
Component 6,System 04,8/29/2008,55.74
Component 6,System 04,10/11/2008,55.71
Component 6,System 04,11/6/2008,58.31
Component 6,System 04,12/9/2008,53.53
Component 6,System 04,1/15/2009,57.33
Component 6,System 04,2/11/2009,53.42
Component 6,System 04,3/9/2009,58.75
Component 6,System 04,6/2/2009,51.59
Component 6,System 04,6/15/2009,52.56
Component 6,System 04,8/13/2009,50.45
Component 6,System 04,9/12/2009,53.67
Component 6,System 04,10/18/2009,52.29
Component 6,System 04,12/7/2009,52.60
Component 6,System 04,12/17/2009,54.96
Component 6,System 04,1/6/2010,53.86
Component 6,System 04,5/19/2010,52.88
Component 6,System 04,9/8/2010,51.70
Component 6,System 04,9/14/2010,50.63
Component 6,System 04,10/1/2010,54.07
Component 6,System 04,2/6/2011,52.50
Component 6,System 04,2/16/2011,57.64
Component 6,System 04,3/1/2011,59.18
Component 6,System 04,4/13/2011,59.18
Component 6,System 04,6/4/2011,58.51
Component 6,System 04,6/21/2011,51.90
Component 6,System 04,7/21/2011,55.60
Component 6,System 04,10/10/2011,55.82
Component 6,System 04,10/21/2011,51.85
Component 6,System 04,10/23/2011,58.28
Component 6,System 04,10/26/2011,50.00
Component 6,System 04,11/28/2011,50.68
Component 6,System 04,12/14/2011,55.54
Component 6,System 04,2/9/2012,55.73
Component 6,System 04,2/17/2012,51.29
Component 6,System 04,3/11/2012,53.52
Component 6,System 04,5/29/2012,54.62
Component 6,System 04,6/25/2012,59.77
Component 6,System 04,7/20/2012,55.19
Component 6,System 04,8/20/2012,50.83
Component 6,System 04,8/31/2012,50.49
Component 6,System 04,11/26/2012,50.12
Component 6,System 04,12/6/2012,59.69
Component 6,System 04,2/17/2013,51.88
Component 6,System 04,3/4/2013,56.80
Component 6,System 04,6/1/2013,51.52
Component 6,System 04,7/13/2013,56.25
Component 6,System 04,7/28/2013,51.79
Component 6,System 04,10/21/2013,50.55
Component 6,System 04,12/23/2013,50.07
Component 6,System 04,1/1/2014,59.17
Component 6,System 04,1/14/2014,57.36
Component 6,System 04,1/22/2014,59.04
Component 6,System 04,3/26/2014,59.70
Component 6,System 04,5/29/2014,54.73
Component 6,System 04,8/8/2014,57.45
Component 6,System 04,11/15/2014,51.04
Component 6,System 04,12/12/2014,53.66
Component 6,System 04,12/15/2014,57.08
Component 6,System 04,12/27/2014,50.43
Component 6,System 04,1/30/2015,55.02
Component 6,System 04,2/16/2015,51.45
Component 6,System 04,6/1/2015,55.82
Component 6,System 04,6/19/2015,53.92
Component 6,System 04,6/25/2015,54.21
Component 6,System 04,7/15/2015,55.25
Component 6,System 04,7/24/2015,56.42
Component 6,System 04,7/30/2015,59.99
Component 6,System 04,8/31/2015,54.64
Component 6,System 04,11/10/2015,51.84
Component 6,System 04,11/30/2015,53.90
Component 6,System 05,1/2/1990,52.06
Component 6,System 05,1/28/1990,51.41
Component 6,System 05,3/1/1990,59.71
Component 6,System 05,3/3/1990,51.35
Component 6,System 05,3/20/1990,57.95
Component 6,System 05,3/25/1990,56.35
Component 6,System 05,4/8/1990,53.79
Component 6,System 05,5/7/1990,58.48
Component 6,System 05,5/22/1990,55.92
Component 6,System 05,7/1/1990,58.01
Component 6,System 05,7/6/1990,59.23
Component 6,System 05,7/7/1990,54.64
Component 6,System 05,8/10/1990,56.62
Component 6,System 05,8/14/1990,55.65
Component 6,System 05,8/24/1990,55.59
Component 6,System 05,9/2/1990,54.15
Component 6,System 05,9/23/1990,55.24
Component 6,System 05,10/18/1990,50.67
Component 6,System 05,11/26/1990,54.47
Component 6,System 05,2/13/1991,50.68
Component 6,System 05,4/15/1991,57.17
Component 6,System 05,6/4/1991,59.07
Component 6,System 05,11/22/1991,53.81
Component 6,System 05,12/8/1991,56.79
Component 6,System 05,2/13/1992,52.66
Component 6,System 05,2/22/1992,58.66
Component 6,System 05,4/19/1992,58.86
Component 6,System 05,4/22/1992,59.91
Component 6,System 05,7/6/1992,52.46
Component 6,System 05,10/31/1992,53.00
Component 6,System 05,11/8/1992,58.13
Component 6,System 05,3/1/1993,52.80
Component 6,System 05,3/8/1993,57.63
Component 6,System 05,4/17/1993,52.51
Component 6,System 05,5/11/1993,50.37
Component 6,System 05,7/30/1993,53.95
Component 6,System 05,8/6/1993,53.85
Component 6,System 05,8/15/1993,50.84
Component 6,System 05,9/4/1993,53.20
Component 6,System 05,10/7/1993,50.79
Component 6,System 05,1/24/1994,57.23
Component 6,System 05,3/9/1994,57.88
Component 6,System 05,6/3/1994,59.66
Component 6,System 05,6/9/1994,53.81
Component 6,System 05,8/7/1994,57.32
Component 6,System 05,10/13/1994,52.75
Component 6,System 05,12/29/1994,56.22
Component 6,System 05,1/1/1995,50.67
Component 6,System 05,10/5/1995,52.99
Component 6,System 05,12/1/1995,50.08
Component 6,System 05,12/9/1995,59.40
Component 6,System 05,12/11/1995,50.42
Component 6,System 05,12/30/1995,58.69
Component 6,System 05,1/3/1996,50.99
Component 6,System 05,2/19/1996,51.45
Component 6,System 05,2/21/1996,53.12
Component 6,System 05,4/23/1996,57.14
Component 6,System 05,7/12/1996,54.05
Component 6,System 05,7/15/1996,56.82
Component 6,System 05,12/3/1996,51.84
Component 6,System 05,12/7/1996,54.83
Component 6,System 05,12/24/1996,59.99
Component 6,System 05,2/17/1997,50.09
Component 6,System 05,2/23/1997,52.58
Component 6,System 05,3/31/1997,56.94
Component 6,System 05,4/21/1997,59.75
Component 6,System 05,6/18/1997,56.43
Component 6,System 05,9/13/1997,59.42
Component 6,System 05,9/15/1997,58.96
Component 6,System 05,5/25/1998,54.52
Component 6,System 05,6/8/1998,58.65
Component 6,System 05,7/20/1998,51.21
Component 6,System 05,7/26/1998,54.50
Component 6,System 05,9/1/1998,56.25
Component 6,System 05,9/30/1998,56.39
Component 6,System 05,1/4/1999,55.55
Component 6,System 05,3/10/1999,58.02
Component 6,System 05,4/20/1999,52.18
Component 6,System 05,5/27/1999,59.11
Component 6,System 05,5/30/1999,51.84
Component 6,System 05,10/10/1999,53.83
Component 6,System 05,10/15/1999,58.05
Component 6,System 05,11/20/1999,50.48
Component 6,System 05,2/11/2000,51.09
Component 6,System 05,3/15/2000,50.65
Component 6,System 05,3/26/2000,53.89
Component 6,System 05,4/8/2000,52.75
Component 6,System 05,6/24/2000,52.25
Component 6,System 05,6/25/2000,57.56
Component 6,System 05,10/8/2000,53.30
Component 6,System 05,10/17/2000,54.58
Component 6,System 05,11/2/2000,50.32
Component 6,System 05,11/9/2000,58.21
Component 6,System 05,11/23/2000,55.40
Component 6,System 05,12/10/2000,59.89
Component 6,System 05,1/22/2001,52.88
Component 6,System 05,5/9/2001,58.65
Component 6,System 05,6/20/2001,57.75
Component 6,System 05,7/1/2001,51.99
Component 6,System 05,8/11/2001,58.40
Component 6,System 05,12/30/2001,54.93
Component 6,System 05,1/27/2002,56.01
Component 6,System 05,3/8/2002,52.66
Component 6,System 05,3/12/2002,51.32
Component 6,System 05,4/8/2002,53.29
Component 6,System 05,5/12/2002,53.38
Component 6,System 05,5/18/2002,59.88
Component 6,System 05,6/27/2002,59.06
Component 6,System 05,7/14/2002,53.70
Component 6,System 05,8/31/2002,58.11
Component 6,System 05,9/7/2002,53.42
Component 6,System 05,9/8/2002,55.86
Component 6,System 05,11/7/2002,56.56
Component 6,System 05,7/27/2003,58.68
Component 6,System 05,9/7/2003,55.32
Component 6,System 05,9/29/2003,56.21
Component 6,System 05,11/22/2003,57.40
Component 6,System 05,11/26/2003,56.16
Component 6,System 05,1/4/2004,51.28
Component 6,System 05,3/8/2004,50.20
Component 6,System 05,6/28/2004,58.16
Component 6,System 05,10/11/2004,58.13
Component 6,System 05,11/1/2004,58.42
Component 6,System 05,1/27/2005,58.50
Component 6,System 05,2/19/2005,54.79
Component 6,System 05,3/2/2005,51.04
Component 6,System 05,3/20/2005,59.32
Component 6,System 05,4/14/2005,56.67
Component 6,System 05,4/16/2005,51.11
Component 6,System 05,5/6/2005,52.67
Component 6,System 05,5/28/2005,55.48
Component 6,System 05,7/7/2005,53.78
Component 6,System 05,9/12/2005,55.53
Component 6,System 05,2/5/2006,52.47
Component 6,System 05,3/7/2006,52.88
Component 6,System 05,4/3/2006,54.64
Component 6,System 05,5/16/2006,58.29
Component 6,System 05,6/2/2006,57.19
Component 6,System 05,6/29/2006,56.89
Component 6,System 05,7/22/2006,56.92
Component 6,System 05,11/13/2006,57.48
Component 6,System 05,12/4/2006,51.32
Component 6,System 05,12/25/2006,59.50
Component 6,System 05,1/2/2007,52.12
Component 6,System 05,1/19/2007,54.80
Component 6,System 05,1/25/2007,55.84
Component 6,System 05,3/21/2007,58.31
Component 6,System 05,3/29/2007,55.91
Component 6,System 05,4/27/2007,57.92
Component 6,System 05,6/15/2007,56.85
Component 6,System 05,8/29/2007,50.97
